basic,14,1,1,전 해산물 별로 안 좋아해요.,I don`t really like seafood. ,basic_day14_1.mp3,basic_day14_2.mp3
basic,14,1,2,저도 그래요.,Me neither.,basic_day14_3.mp3,basic_day14_4.mp3
basic,14,2,1,난 뉴욕에 가 본 적이 없어.,I`ve naver been to New York.,basic_day14_5.mp3,basic_day14_6.mp3
basic,14,2,2,나도 그래. 플로리다밖에 안 가봤어.,Me neither. I`ve only been to Florida.,basic_day14_7.mp3,basic_day14_8.mp3
basic,14,3,1,오늘 밤은 밖에 나갈 기분이 아니네.,I don`t feel like going out tonight.,basic_day14_9.mp3,basic_day14_10.mp3
basic,14,3,2,나도 그래. 오늘 밤엔 시켜 먹자.,Me neither. Let`s order in tonight.,basic_day14_11.mp3,basic_day14_12.mp3
basic,14,4,1,난느 재택근무가 별로야.,I don`t like working from home.,basic_day14_13.mp3,basic_day14_14.mp3
basic,14,4,2,나도 그래. 집에는 방해 요소가 너무 많거든.,Me neither. There are too many distractions at my place.,basic_day14_15.mp3,basic_day14_16.mp3
basic,14,5,1,이 책이 지금 일 년 동안 베스트셀러야.,This book has been a best-seller for a year now.,basic_day14_17.mp3,basic_day14_18.mp3
basic,14,5,2,나는 아직 못 읽었어.,I still haven`t read it.,basic_day14_19.mp3,basic_day14_20.mp3
basic,14,5,3,나도. 우리 같이 읽으면 어떨까 해.,Me neither. Maybe we should read it together.,basic_day14_21.mp3,basic_day14_22.mp3
basic,14,5,4,사실 난 먼저 읽어야 할 다른 책들이 있어.,I actually have other books I need to read first.,basic_day14_23.mp3,basic_day14_24.mp3
