basic,9,1,1,저녁 식사하고 가는 건 어때요?,Why don`t you sty for dinner?,basic_day9_1.mp3,basic_day9_2.mp3
basic,9,2,1,오늘 재스민 만나서 점심 먹었어.,I met Jasmine for lunch today.,basic_day9_3.mp3,basic_day9_4.mp3
basic,9,3,1,존이 담배 피우러 잠깐 나갔습니다.,John just steeped out for a smoke.,basic_day9_5.mp3,basic_day9_6.mp3
basic,9,4,1,지금 검토할 계약서 보낼께.,I`m sending the contract over for review.,basic_day9_7.mp3,basic_day9_8.mp3
basic,9,5,1,난 좀 변화를 주기 위해 샐러드를 먹고 있어.,I am eating a salad for a change.,basic_day9_9.mp3,basic_day9_10.mp3
basic,9,6,1,나가서 자전거 탈까?,Want to go out for a bike ride?,basic_day9_11.mp3,basic_day9_12.mp3
basic,9,6,2,좋지! 지금 날씨가 너무 좋네,Sure! The weather is perfect right now.,basic_day9_13.mp3,basic_day9_14.mp3
basic,9,7,1,오늘 밤에 뭐 해?,What are you up to tonight?,basic_day9_15.mp3,basic_day9_16.mp3
basic,9,7,2,별거 없어. 너는?,Nothing special. You?,basic_day9_17.mp3,basic_day9_18.mp3
basic,9,7,3,나가서 한잔하자,Let`s go out for a drink.,basic_day9_19.mp3,basic_day9_20.mp3
basic,9,7,4,좋지. 몇 시에 일 끝나는데?,Sure. What time do you finish work?,basic_day9_21.mp3,basic_day9_22.mp3
